source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,10.0,0,30,True,True,1255,30,2,24,24,100,0.0001,L1,4.8981405002599834e-129,21.35,0.04,1.52,-0.000394397247193,0.00107052682963,-inf,inf
GQ,True,2.0,10.0,1000,92,False,True,986,92,2,64,64,100,1.0,L1,4.8981405002599846e-129,21.99,0.69,0.69,-8.887182122000001e-06,-3.14519603628e-06,99.0,0.69
GQ,True,1.0,50.0,1000,41,True,True,2130,41,2,2,2,100,0.0001,L1,4.898140500259988e-131,32.01,0.64,0.62,0.000342803690627,-3.57116017948e-05,99.0,0.62
GQ,True,1.0,20.0,0,80,False,True,1586,80,2,20,20,100,0.001,L1,4.898140500259989e-131,25.5,0.5,0.57,0.000353854286684,-2.3826500296999997e-05,99.0,0.57
GQ,True,2.0,50.0,0,93,True,True,2020,93,2,9,9,100,1.0,L2,4.89814050025999e-131,32.6,0.69,0.69,3.18984450357e-05,2.62859542306e-05,1.0,0.63
GQ,True,0.0,100.0,0,70,True,True,2343,70,2,51,51,100,0.1,L1,4.898140500259991e-131,47.42,0.69,0.69,4.40955350981e-05,3.43172763493e-05,1.0,0.58
GQ,True,1.0,20.0,0,12,False,True,1586,12,2,3,3,100,1.0,L2,4.89814050025999e-130,24.74,0.69,0.69,-5.37632366071e-07,-5.43672014186e-07,99.0,0.69
GQ,True,2.0,50.0,0,37,False,True,977,37,2,30,30,100,0.01,L2,0.001,14.91,0.47,0.74,0.00167187866301,0.00015598845598800002,16.0,0.67
GQ,True,1.0,5.0,0,46,False,True,343,46,2,29,29,100,0.001,L1,0.0001,5.44,0.53,0.73,1.16902475087e-05,3.07873253078e-05,7.0,0.7
GQ,True,0.0,10.0,1000,42,True,True,1114,42,2,15,15,100,1.0,L1,0.01,18.68,0.69,0.69,-1.18214774742e-05,-5.7436287561599995e-06,99.0,0.69
GQ,True,2.0,100.0,0,72,True,True,1346,72,2,21,21,100,1.0,L2,0.0001,22.8,0.69,0.69,1.4672786963e-05,1.55919052113e-05,3.0,0.66
GQ,True,1.0,50.0,100,59,False,True,1038,59,2,12,12,100,0.1,L1,0.0001,14.69,0.68,0.68,1.39859507463e-05,3.3246883246999986e-05,15.0,0.66
GQ,True,1.0,50.0,1000,5,False,True,1038,5,2,2,2,100,1.0,L1,0.1,13.33,0.7,0.69,-4.56005759106e-05,1.22304122304e-05,14.0,0.68
GQ,True,0.0,5.0,0,40,True,True,613,40,2,30,30,100,1.0,L1,0.001,10.87,0.69,0.69,-1.23411165198e-06,0.0,99.0,0.69
GQ,True,2.0,50.0,0,40,True,True,1346,40,2,31,31,100,0.0001,L2,0.0001,24.4,0.54,0.7,0.000286145739605,3.53500401943e-05,7,0.67
